time,ACB,BCM,BID,BMP,BVH,CII,CTD,CTG,DGC,DHG,DPM,DXG,EIB,FPT,GAS,GEX,GMD,GVR,HAG,HCM,HDB,HNG,HPG,HSG,HT1,KBC,KDC,KDH,LPB,MBB,MSB,MSN,MWG,NT2,NVL,OCB,PDR,PHR,PLX,PNJ,POW,REE,ROS,SAB,SBT,SHB,SSB,SSI,STB,TCB,TCH,TPB,VCB,VCI,VHC,VHM,VIB,VIC,VJC,VNM,VPB,VPI,VRE
2021-03-31,12.49,53.53,24.64,37.79,51.52,19.8,47.56,18.65,22.78,76.66,7.62,16.2,13.06,33.6,58.41,15.69,25.05,25.59,5.55,11.08,8.62,11.6,19.69,19.8,16.18,28.64,48.38,18.88,7.52,9.4,8.26,75.84,41.5,16.41,45.34,9.44,34.03,44.66,47.37,57.18,10.74,28.0,6440.0,70.34,16.27,10.11,13.93,12.9,21.45,19.08,12.34,9.64,41.3,12.28,27.85,71.74,13.6,52.39,129.7,75.08,14.55,24.44,32.7
2021-04-30,13.0,52.14,23.52,38.44,49.53,15.73,41.88,18.95,23.55,76.74,7.31,15.83,17.84,34.98,54.37,17.53,25.31,23.7,5.44,11.01,8.89,11.5,24.44,22.13,14.42,28.11,47.18,21.8,9.32,10.13,8.2,80.35,45.08,15.67,74.01,9.18,43.03,40.76,43.25,66.31,10.01,28.53,6530.0,65.3,14.53,10.78,13.29,13.25,23.9,19.37,11.69,9.48,43.57,12.32,26.48,73.22,15.63,58.22,124.9,71.34,19.06,24.54,32.0
2021-05-31,15.53,49.34,27.94,38.58,46.77,15.38,40.44,24.67,27.79,75.29,7.26,18.9,21.32,42.34,53.78,17.5,27.42,26.32,5.13,14.37,11.03,10.5,30.17,30.6,13.49,25.0,52.07,24.46,12.99,12.69,10.37,90.27,44.32,14.12,75.81,11.27,47.2,41.6,46.94,68.27,9.56,30.98,6550.0,60.77,14.46,13.16,20.19,18.04,33.8,25.37,12.02,12.96,42.96,15.77,28.71,75.65,19.25,52.22,110.0,69.05,22.55,22.88,29.4
2021-06-30,16.75,50.65,27.11,39.38,50.48,14.8,42.21,24.48,31.63,76.5,9.14,16.2,19.69,44.2,62.47,18.15,31.83,32.21,5.9,18.71,11.58,10.8,29.49,32.1,14.11,28.82,56.95,25.62,12.99,14.47,11.41,91.33,48.64,15.16,92.41,12.0,57.25,43.28,48.1,67.73,9.81,30.71,4970.0,66.09,15.26,12.42,20.36,22.78,30.6,24.9,11.77,12.72,50.71,20.71,32.66,87.01,19.45,52.88,121.5,69.83,22.06,24.13,31.75
2021-07-31,16.96,39.32,23.58,37.32,44.17,12.48,41.1,20.61,37.02,74.89,10.11,14.55,17.16,47.21,60.18,18.73,34.12,31.02,5.01,17.52,11.0,7.75,27.08,28.58,13.75,25.86,57.5,27.77,12.39,13.03,11.2,110.75,52.51,13.68,79.43,11.72,56.7,38.08,45.03,64.82,8.71,29.28,4970.0,62.14,13.48,12.03,19.78,22.62,29.9,24.14,10.32,12.11,42.7,19.76,29.5,79.86,16.36,47.64,113.0,66.51,19.87,26.36,27.65
2021-08-31,15.01,44.11,22.35,35.66,49.27,13.72,45.92,19.06,45.74,89.22,14.56,14.99,16.48,46.9,60.05,19.92,39.16,35.67,5.1,19.99,10.58,7.11,28.23,30.57,18.96,31.98,55.85,27.13,11.2,12.57,10.69,111.58,53.45,15.23,79.73,11.06,53.88,40.53,43.62,58.19,9.65,35.13,5250.0,58.62,16.42,11.9,19.45,25.6,27.35,22.91,10.51,11.8,43.31,23.88,35.56,78.45,14.26,47.05,126.5,67.51,20.07,28.35,27.3
2021-09-30,14.8,41.95,22.64,35.06,50.48,13.76,45.09,18.22,58.49,79.94,14.56,14.81,15.34,47.2,65.15,19.06,37.65,33.04,5.06,19.04,10.36,7.22,30.29,35.63,20.46,32.65,54.27,28.39,10.52,12.55,11.07,117.86,61.54,15.99,77.9,11.67,50.14,40.14,45.29,66.78,9.89,34.71,5600.0,61.12,15.29,11.51,19.37,24.56,25.7,23.43,11.09,14.4,42.35,23.6,37.11,76.08,13.9,44.0,127.9,70.41,21.47,28.69,29.1
2021-10-31,15.48,49.85,23.81,39.84,55.93,17.4,47.61,18.88,59.23,83.06,19.39,18.73,14.62,49.18,83.62,23.06,39.7,37.22,5.15,18.33,10.3,7.5,32.69,36.32,21.82,36.52,53.89,34.8,10.11,12.84,11.25,124.72,63.28,18.2,83.47,12.99,58.84,46.64,47.49,70.37,10.47,39.82,6930.0,62.72,15.98,12.1,21.22,24.47,26.6,24.38,11.09,15.52,42.7,25.43,45.22,83.07,14.55,47.9,132.0,71.27,22.33,30.11,31.2
2021-11-30,15.62,50.51,25.48,39.84,53.48,23.02,52.97,20.1,63.34,82.42,19.94,25.36,17.81,49.28,66.03,40.37,37.8,36.29,8.23,23.52,12.44,8.82,28.03,30.3,23.54,37.53,54.17,31.7,10.88,13.07,12.77,123.32,66.89,17.31,84.01,13.63,57.37,56.51,47.49,66.24,11.17,37.53,13600.0,60.18,17.8,12.57,22.65,33.78,28.9,24.47,15.12,15.61,43.09,31.66,43.93,82.2,16.6,52.5,122.5,68.84,22.12,39.75,29.8
2021-12-31,16.19,60.65,26.91,39.78,49.1,35.96,72.51,20.81,62.37,90.42,19.78,27.14,21.9,47.2,64.62,36.55,35.9,34.56,13.3,22.08,12.58,12.25,26.57,28.65,20.66,45.64,50.26,34.8,10.83,13.03,14.25,141.52,65.44,20.42,91.0,13.33,58.35,58.15,47.31,65.5,14.48,36.78,7090.0,59.01,18.81,11.92,26.08,31.3,31.5,23.62,17.05,19.18,44.33,29.36,46.46,79.67,18.6,47.55,128.3,67.89,21.01,40.79,30.1
2022-01-31,16.21,75.06,34.78,41.69,47.7,21.7,65.55,22.65,53.83,82.34,16.31,26.25,24.34,45.43,73.21,31.83,32.64,29.18,11.8,18.03,12.6,8.99,24.16,23.25,17.47,40.31,50.26,34.12,12.15,15.19,13.34,118.34,63.81,17.35,79.9,13.51,55.66,63.94,49.24,70.81,13.9,36.73,8200.0,58.86,15.98,12.03,24.16,27.22,35.55,24.94,13.25,19.6,50.06,22.58,45.13,78.02,18.7,48.5,121.9,66.39,21.51,43.91,34.95
